fecha,casa,compra,venta
2012-10-14,blue,6,6
2012-10-15,blue,6,6
2012-10-16,blue,6,6
2012-10-17,blue,6,6
2012-10-18,blue,6,6
2012-10-19,blue,6,6
2012-10-20,blue,6,6
2012-10-21,blue,6,6
2012-10-22,blue,6,6
2012-10-23,blue,6,6
2012-10-24,blue,6,6
2012-10-25,blue,6,6
2012-10-26,blue,6,6
2012-10-27,blue,6,6
2012-10-28,blue,6,6
2012-10-29,blue,6,6
2012-10-30,blue,6,6
2012-10-31,blue,6,6
2012-11-01,blue,6,6
2012-11-02,blue,6,6
2012-11-03,blue,6,6
2012-11-04,blue,6,6
2012-11-05,blue,6,6
2012-11-06,blue,6,6
2012-11-07,blue,6,6
2012-11-08,blue,6,6
2012-11-09,blue,6,6
2012-11-10,blue,6,6
2012-11-11,blue,6,6
2012-11-12,blue,6,6
2012-11-13,blue,6,6
2012-11-14,blue,6,6
2012-11-15,blue,6,6
2012-11-16,blue,6,6
2012-11-17,blue,6,6
2012-11-18,blue,6,6
2012-11-19,blue,6,6
2012-11-20,blue,6,6
2012-11-21,blue,6,6
2012-11-22,blue,6,6
2012-11-23,blue,6,6
2012-11-24,blue,6,6
2012-11-25,blue,6,6
2012-11-26,blue,6,6
2012-11-27,blue,6,6
2012-11-28,blue,6,6
2012-11-29,blue,6,6
2012-11-30,blue,6,6
2012-12-01,blue,6,6
2012-12-02,blue,6,6
2012-12-03,blue,6,6
2012-12-04,blue,6,6
2012-12-05,blue,6,6
2012-12-06,blue,6,6
2012-12-07,blue,6,6
2012-12-08,blue,6,6
2012-12-09,blue,6,6
2012-12-10,blue,6,6
2012-12-11,blue,6,6
2012-12-12,blue,6,6
2012-12-13,blue,7,6
2012-12-14,blue,7,6
2012-12-15,blue,7,6
2012-12-16,blue,7,6
2012-12-17,blue,7,6
2012-12-18,blue,7,6
2012-12-19,blue,7,6
2012-12-20,blue,7,7
2012-12-21,blue,7,7
2012-12-22,blue,7,7
2012-12-23,blue,7,7
2012-12-24,blue,7,7
2012-12-25,blue,7,7
2012-12-26,blue,7,7
2012-12-27,blue,7,7
2012-12-28,blue,7,7
2012-12-29,blue,7,7
2012-12-30,blue,7,7
2012-12-31,blue,7,7
2013-01-01,blue,7,7
2013-01-02,blue,7,7
2013-01-03,blue,7,7
2013-01-04,blue,7,7
2013-01-05,blue,7,7
2013-01-06,blue,7,7
2013-01-07,blue,7,7
2013-01-08,blue,7,7
2013-01-09,blue,7,7
2013-01-10,blue,7,7
2013-01-11,blue,7,7
2013-01-12,blue,7,7
2013-01-13,blue,7,7
2013-01-14,blue,7,7
2013-01-15,blue,7,7
2013-01-16,blue,8,7
2013-01-17,blue,8,7
2013-01-18,blue,7,7
2013-01-19,blue,7,7
2013-01-20,blue,7,7
2013-01-21,blue,7,7
2013-01-22,blue,7,7
2013-01-23,blue,8,7
2013-01-24,blue,8,7
2013-01-25,blue,8,8
2013-01-26,blue,8,8
2013-01-27,blue,8,8
2013-01-28,blue,8,8
2013-01-29,blue,8,8
2013-01-30,blue,8,8
2013-01-31,blue,8,8
2013-02-01,blue,8,8
2013-02-02,blue,8,8
2013-02-03,blue,8,8
2013-02-04,blue,8,8
2013-02-05,blue,8,7
2013-02-06,blue,8,8
2013-02-07,blue,8,8
2013-02-08,blue,8,8
2013-02-09,blue,8,8
2013-02-10,blue,8,8
2013-02-11,blue,8,8
2013-02-12,blue,8,8
2013-02-13,blue,8,8
2013-02-14,blue,8,8
2013-02-15,blue,8,8
2013-02-16,blue,8,8
2013-02-17,blue,8,8
2013-02-18,blue,8,8
2013-02-19,blue,8,8
2013-02-20,blue,8,8
2013-02-21,blue,8,8
2013-02-22,blue,8,8
2013-02-23,blue,8,8
2013-02-24,blue,8,8
2013-02-25,blue,8,8
2013-02-26,blue,8,8
2013-02-27,blue,8,8
2013-02-28,blue,8,8
2013-03-01,blue,8,8
2013-03-02,blue,8,8
2013-03-03,blue,8,8
2013-03-04,blue,8,8
2013-03-05,blue,8,8
2013-03-06,blue,8,8
2013-03-07,blue,8,8
2013-03-08,blue,8,8
2013-03-09,blue,8,8
2013-03-10,blue,8,8
2013-03-11,blue,8,8
2013-03-12,blue,8,8
2013-03-13,blue,8,8
2013-03-14,blue,8,8
2013-03-15,blue,8,8
2013-03-16,blue,8,8
2013-03-17,blue,8,8
2013-03-18,blue,8,8
2013-03-19,blue,8,8
2013-03-20,blue,9,9
2013-03-21,blue,8,8
2013-03-22,blue,8,8
2013-03-23,blue,8,8
2013-03-24,blue,8,8
2013-03-25,blue,8,8
2013-03-26,blue,8,8
2013-03-27,blue,8,8
2013-03-28,blue,8,8
2013-03-29,blue,8,8
2013-03-30,blue,8,8
